legId,searchDate,flightDate,startingAirport,destinationAirport,fareBasisCode,travelDuration,elapsedDays,isBasicEconomy,isRefundable,isNonStop,baseFare,totalFare,seatsRemaining,totalTravelDistance,segmentsDepartureTimeRaw,segmentsArrivalTimeRaw,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsCabinCode
9ed38bc7452078ed8bffc8c944200600,2022-05-18,2022-06-15,PHL,LGA,QVBHZNB3,PT11H11M,0,True,False,False,179.54,226.71,7,907.0,07:00:00 - 10:30:00 - 17:00:00,08:22:00 - 12:16:00 - 18:11:00,American Airlines||American Airlines||American Airlines,AA||AA||AA,Airbus A321||Airbus A319||Airbus A319,coach||coach||coach
560988882a7d79e9aad2c36cc95a9226,2022-05-29,2022-06-24,EWR,DEN,TA3NR,PT13H28M,0,False,False,False,193.0,300.58,0,1392.0,11:25:00 - 20:30:00,14:37:00 - 22:53:00,Spirit Airlines||Spirit Airlines,NK||NK,AIRBUS INDUSTRIE A321 SHARKLETS||,coach||coach
0ba8195a2f7218a828db88f0dbf2859f,2022-04-25,2022-06-21,DTW,LAX,VUAHZNN1,PT6H35M,0,False,False,False,292.09,337.6,7,2048.0,18:09:00 - 20:15:00,19:17:00 - 21:44:00,American Airlines||American Airlines,AA||AA,Airbus A320||Airbus A320,coach||coach
e18a2b4b52ca011ee4a5bbddc5b37bda,2022-04-18,2022-06-06,ORD,DTW,UAA0OFEN,PT1H20M,0,False,False,True,273.49,308.6,2,240.0,07:10:00,09:30:00,United,UA,Embraer 175 (Enhanced Winglets),coach
2fbc8ab0a29e8140910f389d271fd372,2022-06-22,2022-06-29,DEN,EWR,UA7NA0BC,PT5H49M,0,True,False,False,175.81,212.6,9,1627.0,00:55:00 - 07:05:00,05:46:00 - 08:44:00,Delta||Delta,DL||DL,Airbus A321||Airbus A220-100,coach||coach
56c71a98cd159b5291fea19047a28526,2022-05-25,2022-06-29,OAK,BOS,U0XSNR,PT15H35M,1,False,False,False,329.38,436.96,0,1392.0,12:00:00 - 22:30:00,13:34:00 - 06:35:00,Spirit Airlines||Spirit Airlines,NK||NK,||,coach||coach
0c876e30231b6a57074a10fd81bf0794,2022-06-08,2022-06-11,CLT,PHL,UA3NR,PT6H38M,0,False,False,False,55.0,161.08,0,1392.0,06:33:00 - 10:33:00,08:20:00 - 13:11:00,Spirit Airlines||Spirit Airlines,NK||NK,Airbus A319||AIRBUS INDUSTRIE A321 SHARKLETS,coach||coach
ae864bde672a2c6fac66d965acab9e1a,2022-04-22,2022-06-04,ATL,DEN,VA3NR,PT14H47M,0,False,False,False,130.0,237.58,0,1392.0,05:50:00 - 15:45:00,07:04:00 - 18:37:00,Spirit Airlines||Spirit Airlines,NK||NK,AIRBUS INDUSTRIE A321 SHARKLETS||AIRBUS INDUSTRIE A320 SHARKLETS,coach||coach
74f6a132b6194de17ed01e07912cf47a,2022-06-06,2022-06-09,BOS,JFK,QA3TA0MC,PT1H23M,0,False,False,True,189.77,218.6,2,185.0,06:05:00,07:28:00,Delta,DL,Airbus A220-100,coach
726b6f3e28f848eeb91254ba7d80eb82,2022-05-28,2022-06-19,DTW,ATL,QAA2AKES,PT4H36M,0,False,False,False,407.45,461.61,1,932.0,10:21:00 - 12:55:00,11:50:00 - 14:57:00,United||United,UA||UA,Embraer EMB-145||Embraer 175 (Enhanced Winglets),coach||coach
9514d4434f5a9cf83b891fb1fdb0a24b,2022-05-09,2022-06-10,LGA,BOS,UL4AUEL1,PT1H27M,0,False,False,True,36.28,53.6,7,185.0,16:00:00,17:27:00,JetBlue Airways,B6,Embraer 190,coach
930fb71643e7057eaf385943d8b67ef0,2022-06-05,2022-06-15,MIA,LAX,G3AWZNN1,PT7H38M,0,False,False,False,274.42,318.6,3,2308.0,05:25:00 - 09:09:00,07:29:00 - 10:03:00,American Airlines||American Airlines,AA||AA,Airbus A321||Airbus A321,coach||coach
03ee7a41f7f693fe15646cc8f8741802,2022-05-09,2022-06-19,DEN,DFW,HAA0OKEN,PT2H,0,False,False,True,254.88,288.6,9,650.0,17:25:00,20:25:00,United,UA,Airbus A320,coach
02dee997ba79c42c9cdc2b1823320880,2022-05-05,2022-06-03,DEN,MIA,K0AIZNN1,PT5H43M,1,False,False,False,375.81,427.6,7,1765.0,16:50:00 - 20:35:00,19:55:00 - 00:33:00,American Airlines||American Airlines,AA||AA,Airbus A321||Airbus A321,coach||coach
84e77c2d85ce9b24e7759dff5d2169ad,2022-05-07,2022-06-04,ATL,DTW,KAUOA0MQ,PT6H10M,0,False,False,False,603.73,672.61,9,1278.0,13:12:00 - 17:24:00,15:34:00 - 19:22:00,Delta||Delta,DL||DL,Canadair Regional Jet 900||Canadair Regional Jet 900,coach||coach
330a869fbd1b182a7564c6ba65d9e326,2022-04-21,2022-06-16,MIA,CLT,V0AWZNN1,PT4H48M,0,False,False,False,223.26,263.61,7,663.0,14:28:00 - 17:26:00,15:39:00 - 19:16:00,American Airlines||American Airlines,AA||AA,Boeing 737-800||Airbus A321,coach||coach
0d6210cb4a5232bac73da71c3398d510,2022-05-22,2022-06-17,LAX,LGA,WAA1AKEN,PT8H32M,0,False,False,False,384.18,436.59,3,2802.0,00:04:00 - 07:05:00,05:22:00 - 11:36:00,United||United,UA||UA,Boeing 737-900||Airbus A320,coach||coach
f3ec808bb02f5d2596a0e2dec27b71bd,2022-04-29,2022-06-27,OAK,EWR,VA7NR,PT13H45M,1,False,False,False,109.0,216.58,0,1392.0,21:10:00 - 06:05:00,22:45:00 - 13:55:00,Spirit Airlines||Spirit Airlines,NK||NK,AIRBUS INDUSTRIE A320 SHARKLETS||,coach||coach
8040817e7845bf941f49f3ed59dd42f0,2022-06-07,2022-06-17,SFO,MIA,H0AJZNN1,PT5H43M,1,False,False,True,679.07,744.6,3,2582.0,23:00:00,07:43:00,American Airlines,AA,Boeing 737 MAX 8,coach
71db82a9487904ebdc15110bcc1e10ea,2022-05-25,2022-06-24,CLT,PHL,BA0OA0MQ,PT6H24M,0,False,False,False,469.77,527.1,9,895.0,08:30:00 - 12:50:00,09:44:00 - 14:54:00,Delta||Delta,DL||DL,Boeing 717||Boeing 737-900,coach||coach
fefe2af605895f36b4ae8ceec47072df,2022-05-12,2022-06-17,EWR,ORD,V7AJZNN1,PT2H35M,0,False,False,True,156.28,182.6,7,720.0,06:54:00,08:29:00,JetBlue Airways,B6,Boeing 737-800,coach
9e46109d2d68e70d0daf3c05590afc63,2022-04-30,2022-06-02,ORD,SFO,VUAHZNN1,PT11H16M,0,False,False,False,421.4,481.11,7,2236.0,09:55:00 - 15:40:00 - 17:05:00,12:23:00 - 16:02:00 - 19:11:00,American Airlines||American Airlines||American Airlines,AA||AA||AA,Embraer 175||Airbus A319||Boeing 737-800,coach||coach||coach
90e542117e1ff4cb06e9ec14f01f3cf0,2022-06-07,2022-06-10,ATL,JFK,UA3NX0MC,PT10H30M,0,False,False,False,345.12,400.2,4,1351.0,08:15:00 - 15:43:00,09:44:00 - 18:45:00,Delta||Delta,DL||DL,Boeing 757-300||Airbus A321,coach||coach
fdae55e501f20549354bc51929791b0f,2022-04-23,2022-06-14,LAX,EWR,K0AJZNN1,PT9H48M,1,False,False,False,393.49,445.1,7,2666.0,22:06:00 - 09:10:00,05:55:00 - 10:54:00,American Airlines||American Airlines,AA||AA,Airbus A321||Boeing 737-800,coach||coach
bf7080970c90819828ef4fb00b26df8c,2022-05-09,2022-06-21,ATL,LGA,UA7NR,PT10H14M,0,False,False,False,55.38,162.96,0,1392.0,05:20:00 - 12:29:00,07:20:00 - 15:34:00,Spirit Airlines||Spirit Airlines,NK||NK,AIRBUS INDUSTRIE A320 SHARKLETS||AIRBUS INDUSTRIE A321 SHARKLETS,coach||coach
01da27cd1338af697c4261264b94fb15,2022-04-29,2022-06-01,DFW,LAX,QAUOA0MC,PT3H25M,0,False,False,True,236.28,268.6,7,1238.0,16:00:00,17:25:00,Delta,DL,Airbus A320,coach
eb5fe51eb356c974b2585e7c0ee6df4d,2022-04-29,2022-06-28,LAX,MIA,VAA3AKEN,PT7H41M,0,False,False,False,429.76,485.59,3,2341.0,11:21:00 - 18:27:00,16:47:00 - 22:02:00,United||United,UA||UA,Boeing 737-900||Boeing 737 MAX 9,coach||coach
f2fb968d641d570967c7914531c306be,2022-05-29,2022-06-28,DEN,ORD,KA0OA0MQ,PT9H51M,0,False,False,False,426.05,487.2,9,1034.0,09:18:00 - 18:27:00,12:12:00 - 20:09:00,Delta||United,DL||UA,Airbus A321||Airbus A320,coach||coach
0d81a6a54fa236e6ec81c3346c91f5d2,2022-06-02,2022-06-14,BOS,DTW,S3AJZNN3,PT8H1M,1,False,False,False,120.0,151.1,7,1233.0,16:36:00 - 22:44:00,19:00:00 - 00:37:00,American Airlines||American Airlines,AA||AA,Boeing 737-800||Boeing 737-800,coach||coach
b1d5a45534308a121a61176970d3b5bc,2022-05-08,2022-06-22,JFK,BOS,S7AHZNN1,PT1H23M,0,False,False,True,106.05,128.6,6,185.0,20:00:00,21:23:00,American Airlines,AA,Embraer 175,coach
b9537ad0ea108c11e51135633bdcb695,2022-05-02,2022-06-22,BOS,DFW,K7CXNR,PT6H53M,0,False,False,False,140.0,247.58,0,1392.0,06:25:00 - 10:25:00,09:33:00 - 12:18:00,Spirit Airlines||Spirit Airlines,NK||NK,AIRBUS INDUSTRIE A320 SHARKLETS||AIRBUS INDUSTRIE A320 SHARKLETS,coach||coach
